1,16,14,7,22
10,3,20,21,2
11,18,3,0,1
12,11,1,19,16
13,13,13,0,2
14,5,22,13,6
15,10,22,13,11
16,13,6,18,18
17,0,9,3,18
18,0,17,2,21
19,13,3,5,8
2,11,2,20,21
20,0,4,1,1
21,13,20,10,20
22,17,16,0,18
23,2,11,15,12
24,12,2,21,12
25,22,0,9,22
26,18,18,0,12
27,4,0,21,11
28,12,1,2,20
29,15,11,22,1
3,15,15,3,6
30,13,2,7,0
31,17,11,6,13
32,18,15,15,18
33,5,11,4,0
34,15,12,19,0
35,9,0,0,22
36,12,5,11,10
37,0,20,2,17
38,21,16,15,19
39,3,20,20,6
4,13,6,1,3
40,18,2,0,17
41,18,10,21,2
42,16,11,22,16
43,22,5,11,16
44,18,0,0,5
45,2,4,20,15
46,19,2,19,6
47,21,22,0,19
48,17,10,0,11
49,7,10,2,17
5,12,0,22,5
50,3,11,9,0
51,18,19,3,0
52,9,8,11,10
53,16,10,2,22
54,8,13,1,13
55,11,5,8,7
56,0,0,12,15
57,7,7,5,0
58,1,14,2,3
59,1,7,3,22
6,3,20,0,10
60,12,18,10,18
61,20,3,0,22
62,3,2,11,0
63,0,22,15,15
64,3,17,0,0
65,15,22,1,22
66,20,1,15,1
67,0,4,12,12
68,3,16,20,9
69,10,22,16,19
7,16,19,22,0
70,0,15,16,22
71,20,5,0,18
72,7,4,2,1
8,10,15,6,20
9,21,20,19,21
