1,1,3,0,0,
2,1,13,0,0,
3,2,3,0,0,
4,3,2,0,0,
5,4,1,0,1,
6,5,2,0,1,
7,16,1,0,1,
8,16,14,0,1,
9,8,3,0,1,
10,19,13,0,1,
11,20,2,0,1,
12,21,13,0,1,
13,21,14,0,1,
14,15,13,0,1,
15,5,1,0,2,
16,6,3,0,2,
17,17,14,0,2,
18,9,14,0,2,
19,19,2,0,2,
20,20,2,0,2,
21,10,13,0,2,
22,11,1,0,2,
23,11,14,0,2,
24,12,1,0,2,
25,15,1,0,2,
26,4,2,0,3,
27,4,3,0,3,
28,5,3,0,3,
29,6,3,0,3,
30,19,14,0,3,
31,20,2,0,3,
32,12,3,0,3,
33,21,2,0,3,
34,21,13,0,3,
35,22,14,0,3,
36,18,13,0,3,
37,6,1,0,13,
38,7,14,0,13,
39,8,14,0,13,
40,9,2,0,13,
41,9,3,0,13,
42,20,1,0,13,
43,20,2,0,13,
44,20,3,0,13,
45,10,1,0,13,
46,12,13,0,13,
47,21,13,0,13,
48,22,13,0,13,
49,4,14,0,14,
50,5,1,0,14,
51,5,2,0,14,
52,16,1,0,14,
53,19,13,0,14,
54,10,13,0,14,
55,10,14,0,14,
56,21,3,0,14,
57,22,1,0,14,
58,22,14,0,14,
59,15,2,0,14,
60,18,3,0,14,
61,16,6,4,4,
62,17,19,4,4,
63,5,7,4,5,
64,4,21,4,6,
65,6,18,4,6,
66,17,17,4,6,
67,8,5,4,6,
68,12,16,4,6,
69,18,21,4,6,
70,7,19,4,7,
71,19,11,4,7,
72,17,6,4,8,
73,20,10,4,8,
74,12,20,4,8,
75,21,7,4,8,
76,17,20,4,9,
77,9,20,4,9,
78,7,22,4,19,
79,12,7,4,19,
80,22,15,4,19,
81,9,6,4,20,
82,6,6,4,10,
83,8,10,4,10,
84,6,9,4,11,
85,16,17,4,11,
86,21,11,4,11,
87,22,12,4,11,
88,4,15,4,12,
89,16,18,4,12,
90,10,22,4,12,
91,8,11,4,21,
92,9,20,4,21,
93,9,10,4,21,
94,10,15,4,21,
95,11,17,4,21,
96,15,7,4,15,
97,10,9,4,18,
98,12,21,4,18,
99,15,16,4,18,
100,18,15,4,18,
101,11,20,5,5,
102,11,22,5,5,
103,22,9,5,5,
104,18,16,5,5,
105,10,20,5,6,
106,7,21,5,16,
107,9,21,5,16,
