1,18,14,10,13
10,13,4,9,0
100,12,13,12,19
101,4,14,14,6
102,3,18,16,5
103,14,22,14,4
104,15,2,4,8
105,15,21,4,1
106,8,22,5,12
107,10,11,21,0
108,5,7,4,3
109,12,14,12,9
11,0,0,21,20
110,12,15,16,11
111,3,10,8,14
112,21,8,13,11
113,18,7,4,3
114,13,21,20,15
115,18,13,5,14
116,6,15,10,18
117,4,11,6,15
118,10,15,22,10
119,7,1,4,0
12,0,2,4,8
120,16,21,1,15
121,18,9,14,5
122,11,14,2,11
123,1,5,14,4
124,8,5,18,17
125,6,3,11,4
126,18,0,22,17
127,21,3,9,22
128,10,14,9,2
129,15,3,21,2
13,13,21,21,12
130,11,6,2,15
131,17,12,4,18
132,9,2,1,4
133,9,16,14,9
134,0,4,22,16
135,0,4,15,5
136,18,14,0,18
137,1,4,9,9
138,11,6,15,6
139,18,10,3,7
14,22,4,15,3
140,21,8,14,18
141,20,17,4,20
142,12,21,12,18
143,20,22,11,2
144,20,18,6,18
145,13,9,13,10
146,13,7,22,10
147,13,22,14,16
148,16,9,1,8
149,7,8,14,4
15,7,0,8,5
150,14,18,0,19
151,22,2,10,5
152,19,14,3,0
153,6,13,0,12
154,18,18,19,9
155,3,15,9,12
156,4,4,14,4
157,3,9,9,5
158,8,0,20,22
159,11,17,3,3
16,12,1,5,13
160,19,19,17,7
161,13,10,0,18
162,7,17,20,3
163,1,21,4,4
164,16,18,4,10
165,10,18,12,18
166,18,21,19,7
167,22,0,20,13
168,18,17,0,10
169,0,20,17,10
17,6,4,7,1
170,4,0,21,7
171,5,3,9,3
172,1,22,16,5
173,19,12,21,1
174,3,15,0,16
175,19,4,13,16
176,18,1,12,6
177,7,18,18,11
178,18,3,21,1
179,2,2,18,18
18,12,13,18,0
180,18,14,11,1
181,7,2,15,6
182,3,4,9,5
183,19,4,10,3
184,0,15,11,2
185,21,14,11,13
186,19,9,16,21
187,4,16,5,8
188,12,11,15,11
189,12,18,13,10
19,5,4,1,7
190,19,10,6,7
191,10,3,9,2
192,10,19,22,18
193,18,13,5,4
194,6,21,10,12
195,19,13,0,16
196,15,20,19,10
197,22,21,18,15
198,16,2,2,19
199,21,6,14,7
2,6,13,19,7
20,18,17,22,22
200,4,4,9,0
201,16,7,2,0
202,14,21,4,14
203,18,21,13,22
204,4,0,9,4
205,21,16,0,19
206,13,22,20,1
207,2,3,8,1
208,21,4,19,2
209,16,4,18,10
21,7,18,3,22
210,12,4,20,7
211,4,19,19,2
212,14,16,9,5
213,10,9,7,22
214,0,12,9,21
215,0,13,21,11
216,14,4,11,6
217,4,16,17,15
218,14,15,3,15
219,13,15,6,0
22,16,10,9,2
220,5,10,0,7
221,19,7,13,19
222,4,11,3,7
223,2,4,12,11
224,13,7,10,12
225,7,0,9,6
226,10,8,9,3
227,14,12,6,3
228,1,14,20,12
229,6,13,7,1
23,0,4,14,16
230,21,1,7,0
231,18,12,7,18
232,13,17,8,20
233,10,0,10,2
234,0,0,17,19
235,9,10,4,9
236,7,0,3,15
237,3,15,15,13
238,18,1,12,20
239,14,18,1,13
24,18,17,4,7
240,3,1,22,19
241,0,10,7,15
242,18,5,3,10
243,18,12,7,20
244,16,0,12,13
245,0,1,16,4
246,18,0,6,12
247,3,18,5,20
248,22,10,5,22
249,18,11,16,15
25,12,0,18,21
250,4,7,11,19
251,1,19,21,4
252,10,10,3,2
253,19,5,13,16
254,11,15,20,0
255,15,1,3,12
256,20,6,9,13
26,2,21,0,5
27,18,1,0,0
28,10,18,10,4
29,17,15,16,10
3,21,14,3,6
30,18,22,12,19
31,14,18,8,7
32,21,6,6,13
33,3,0,14,22
34,8,11,22,7
35,22,17,12,11
36,4,19,9,22
37,11,5,13,9
38,22,21,4,22
39,9,7,0,2
4,4,18,5,22
40,1,10,4,11
41,22,10,14,15
42,5,4,5,11
43,7,9,8,5
44,11,5,12,0
45,19,6,9,20
46,14,3,15,4
47,19,0,18,17
48,17,20,4,18
49,3,3,2,3
5,10,0,3,15
50,1,3,11,12
51,11,18,18,18
52,20,12,20,7
53,14,15,17,18
54,18,18,17,14
55,13,15,1,18
56,0,7,19,0
57,9,16,6,8
58,6,13,12,6
59,15,11,6,18
6,18,0,15,8
60,16,11,0,16
61,21,21,22,10
62,21,8,3,6
63,0,8,16,12
64,3,21,19,21
65,22,7,10,15
66,3,6,7,16
67,16,6,8,8
68,6,6,8,5
69,15,10,14,10
7,3,11,17,20
70,12,18,21,18
71,12,0,9,3
72,18,1,16,9
73,21,16,22,11
74,0,7,21,20
75,16,3,22,16
76,15,16,5,6
77,0,11,5,9
78,8,3,18,4
79,19,5,17,18
8,17,9,4,19
80,3,5,19,3
81,8,10,6,21
82,0,7,7,13
83,10,4,5,22
84,19,5,18,5
85,11,0,8,6
86,7,6,7,6
87,4,3,13,12
88,18,22,11,4
89,5,21,9,4
9,22,3,4,7
90,8,0,10,16
91,5,4,13,6
92,4,22,16,12
93,1,18,2,11
94,10,11,17,3
95,15,4,21,5
96,9,15,9,21
97,9,11,21,3
98,12,1,8,7
99,4,12,10,9
